id,arcana,suit,number,name_ja,name_en,element,polarity,yes_no_upright,yes_no_reversed,timing,themes,keywords_upright,keywords_reversed,core_upright,core_past,core_present,core_future,interpretation_upright,angel_upright,action_upright,core_reversed,interpretation_reversed,angel_reversed,action_reversed,image
major_10,major,,10,運命の輪,Wheel of Fortune,火,陽,Yes,保留,変化,転機|循環|流れ,転機|循環|運命|変化|流れ|チャンス|展開|節目|必然,停滞|不運|混乱|抵抗|不安|停留|拒絶|恐れ|翻弄|流される,"今は、大きな流れが動き出し、状況が転換していく時です。自分の力だけでどうにかしようとせず、巡ってくる変化を受け入れることが焦点になります。流れに身を任せることで、新しい展開が自然と訪れるでしょう。","これまで、同じパターンや流れを繰り返してきた背景があります。","今は、運命の転換点に立ち、変化を受け取る地点にいます。","巡り合わせによって、思いがけない展開が開かれていくでしょう。","今は、変化を受け入れる時です。","必要な流れは、すでに動き始めています。","流れに逆らわず進みましょう。","変化を恐れ、流れに抵抗しやすい状態です。","状況に振り回され、落ち着きを失っています。","すぐに結論を出さなくて大丈夫です。","一時の波と捉えましょう。","major/10_Wheel_of_Fortune"
major_11,major,,11,正義,Justice,風,陰,Yes,No,ゆっくり,公平|真実|選択,公平|真実|判断|責任|バランス|誠実|因果|選択|明確,偏り|不正|自己正当化|迷い|曖昧|逃避|歪み|責任回避|不均衡|混乱,"今は、感情に流されず、事実と向き合うことが求められる時です。何が本当で、何を選ぶべきかを冷静に見極めることが焦点になります。誠実な判断を重ねることで、状況は公正に整っていくでしょう。","これまで、選択の結果や責任と向き合う場面が続いていました。","今は、真実を受け止め、判断を下す地点にいます。","正直な選択が、長期的なバランスをもたらすでしょう。","今は、事実を直視する時です。","誠実さは、必ずあなたを守ります。","公平な視点で考えましょう。","感情や偏見により、判断が揺らぎやすい状態です。","責任から目を逸らしがちになっています。","すぐに決めなくて大丈夫です。","情報を整理し直しましょう。","major/11_Justice"
major_12,major,,12,吊るされた男,The Hanged Man,水,陰,保留,No,ゆっくり,手放し|受容|転換,受容|手放し|視点転換|忍耐|犠牲|内省|理解|静止|再評価,停滞|我慢|犠牲過多|諦め|被害者意識|消耗|拒絶|閉塞|無力感|疲労,"今は、無理に進めるよりも、一度立ち止まり視点を変える時です。手放すことで見えてくる真実があり、そこに新しい理解が生まれます。今は動かず、内側の変化を受け入れてみてください。","これまで、前に進もうとして努力を重ねてきた背景があります。","今は、状況を違う角度から見直すための静止点にいます。","理解が深まることで、自然と次の動きが見えてくるでしょう。","今は、手放しを受け入れる時です。","止まることも、大切な選択です。","視点を変えてみましょう。","無理な我慢や犠牲が続き、疲弊しやすい状態です。","状況を悲観的に捉えすぎています。","今は耐えなくて大丈夫です。","休息を優先しましょう。","major/12_Hanged_Man"
major_13,major,,13,死神,Death,水,陰,No,Yes,変化,終焉|再生|転換,終焉|手放し|再生|変容|区切り|浄化|移行|刷新|必然,抵抗|執着|恐れ|拒絶|停滞|未練|否定|回避|不安|混乱,"今は、終わりを受け入れ、新しい段階へ移行する時です。必要のないものを手放すことで、再生のスペースが生まれます。怖れずに区切りをつけることで、次の流れが静かに始まるでしょう。","これまで、役目を終えた関係や状況を抱え続けてきた背景があります。","今は、明確な区切りをつけるための転換点にいます。","手放しの先に、新しい始まりが自然と訪れるでしょう。","今は、終わりを受け入れる時です。","終わりは、再生の入口です。","不要なものを整理しましょう。","変化を恐れ、執着が強まりやすい状態です。","終わりを避けることで停滞しています。","焦らなくて大丈夫です。","少しずつ手放しましょう。","major/13_Death"
major_14,major,,14,節制,Temperance,火,陰,Yes,保留,ゆっくり,調和|統合|癒し,調和|統合|バランス|循環|癒し|中庸|適応|柔軟|融合,偏り|過剰|不調和|無理|停滞|分断|焦り|不安定|極端|乱れ,"今は、極端に振れることなく、心と状況を穏やかに整える時です。異なる要素を少しずつ混ぜ合わせることで、無理のない調和が生まれます。急がず、今の自分に合ったバランスを探してみてください。","これまで、どちらかに偏りやすい選択を重ねてきた背景があります。","今は、調整と癒しを通して全体を整える地点にいます。","穏やかな統合が進み、心身ともに安定した流れが育っていくでしょう。","今は、バランスを取り戻す時です。","調和は、静かな癒しをもたらします。","無理のない配分を意識しましょう。","やりすぎや不足により、調和を失いやすい状態です。","極端な考えに傾いています。","焦らなくて大丈夫です。","中庸を意識しましょう。","major/14_Temperance"
major_15,major,,15,悪魔,The Devil,地,陰,No,Yes,停滞,束縛|執着|影,執着|束縛|欲望|依存|影|恐れ|固定観念|誘惑|支配,解放|自覚|手放し|自立|気づき|距離|回復|再選択|自由|浄化,"今は、無意識の恐れや執着が行動を縛りやすい時です。何に縛られているのかを自覚することが、解放への第一歩になります。選び直す力は、すでにあなたの手の中にあります。","これまで、不安や欲求に引きずられる関係や状況が続いていました。","今は、依存や固定観念に気づき、距離を取る地点にいます。","自覚と手放しによって、自由な選択肢が少しずつ戻ってくるでしょう。","今は、執着に気づく時です。","気づきは、解放の扉です。","一つ距離を取ってみましょう。","欲望や恐れに振り回されやすい状態です。","依存的な関係が強まっています。","責めなくて大丈夫です。","冷静に状況を見直しましょう。","major/15_Devil"
major_16,major,,16,塔,The Tower,火,陽,No,Yes,急展開,崩壊|解放|衝撃,崩壊|真実|解放|衝撃|目覚め|刷新|転換|覚醒|変革,拒絶|混乱|恐怖|抵抗|防衛|動揺|不安定|回避|破壊|混迷,"今は、これまで築いてきた前提が揺さぶられ、真実が露わになる時です。突然の変化は衝撃的ですが、偽りを壊すことで本来の道が現れます。崩れた後に残るものこそ、あなたに必要な土台です。","これまで、不安定な基盤の上に物事を積み重ねてきた背景があります。","今は、古い構造が崩れ、真実と向き合う転換点にいます。","不要なものが一掃され、新しい基盤が再構築されていくでしょう。","今は、変化を受け止める時です。","真実は、あなたを自由にします。","壊れたものを確認しましょう。","変化を恐れ、現実を否定しやすい状態です。","混乱により視野が狭まっています。","今は落ち着いて大丈夫です。","安全を確保しましょう。","major/16_Tower"
major_17,major,,17,星,The Star,風,陰,Yes,保留,ゆっくり,希望|癒し|回復,希望|癒し|回復|信頼|再生|光|導き|安心|静寂,失望|不安|疑念|悲観|枯渇|無力感|閉塞|諦め|疲弊|影,"今は、傷ついた心が少しずつ癒され、希望の光を取り戻す時です。無理に前向きにならなくて大丈夫。静かな信頼を取り戻すことが焦点になります。小さな安心を積み重ねることで、未来への道はやさしく照らされていくでしょう。","これまで、困難や喪失を経て心が疲れてきた背景があります。","今は、回復と癒しを受け取り、信頼を取り戻す地点にいます。","穏やかな希望が育ち、前に進む力が静かに戻ってくるでしょう。","今は、希望を取り戻す時です。","光は、あなたの内側にあります。","安心できる時間を大切にしましょう。","希望を信じきれず、不安に引き戻されやすい状態です。","回復を急ぎすぎています。","焦らなくて大丈夫です。","ゆっくり整えましょう。","major/17_Star"
major_18,major,,18,月,The Moon,水,陰,保留,No,ゆっくり,不安|無意識|揺らぎ,不安|無意識|揺らぎ|幻想|感情|直感|影|曖昧|感受性,混乱|恐怖|誤解|不信|迷走|錯覚|不安定|依存|逃避|閉塞,"今は、先がはっきり見えず、不安や揺らぎが強まりやすい時です。見えているものがすべて真実とは限らず、無意識の影響が表に出ています。焦らず、感情を否定せずに通り過ぎるのを待ってみてください。","これまで、曖昧な状況や感情に揺さぶられる流れが続いていました。","今は、不安の正体を静かに見つめる地点にいます。","感情の波を越えることで、次第に輪郭がはっきりしてくるでしょう。","今は、不安を否定しない時です。","夜は、必ず明けます。","感情を書き出してみましょう。","恐れに飲み込まれ、現実を見失いやすい状態です。","疑心暗鬼が強まっています。","一人で抱えなくて大丈夫です。","信頼できる人に話しましょう。","major/18_Moon"
major_19,major,,19,太陽,The Sun,火,陽,Yes,Yes,早い,喜び|成功|明晰,喜び|成功|明晰|祝福|活力|肯定|達成|光|成長,過信|未熟|軽率|空回り|傲慢|消耗|無邪気すぎ|配慮不足|疲労|停滞,"今は、状況が明るく照らされ、喜びと達成感を感じやすい時です。隠れていたことが明確になり、前向きなエネルギーが自然と広がります。素直な喜びを受け取り、分かち合うことで、流れはさらに明るくなるでしょう。","これまで、努力や試行錯誤を重ねてきた背景があります。","今は、成果を実感し、安心して前に進める地点にいます。","喜びと成功が広がり、周囲にも良い影響を与えていくでしょう。","今は、喜びを受け取る時です。","あなたは、正しい道を歩んでいます。","素直に喜びましょう。","勢いに任せて無理をしやすい状態です。","疲れに気づきにくくなっています。","休んでも大丈夫です。","ペースを整えましょう。","major/19_Sun"
major_20,major,,20,審判,Judgement,火,陽,Yes,保留,転機,目覚め|再生|呼びかけ,目覚め|再生|覚醒|呼びかけ|決断|解放|許し|復活|真実,後悔|拒絶|停滞|恐れ|自己否定|回避|無視|迷い|混乱|躊躇,"今は、過去の流れを振り返り、本当の声に応える時です。心の奥からの呼びかけに気づくことで、停滞していた状況は再び動き出します。自分を責める必要はありません。気づいた今が、新しい再生の始まりです。","これまで、未完了の想いや過去の選択が心に残っていました。","今は、過去を受け入れ、次の段階へ進むための目覚めの地点にいます。","決断と許しによって、新しい人生の流れが力強く始まるでしょう。","今は、本当の声に応える時です。","あなたは、呼び戻されています。","過去を整理しましょう。","過去に縛られ、前に進めなくなっている状態です。","自分を厳しく裁きすぎています。","責めなくて大丈夫です。","今の自分を許しましょう。","major/20_Judgement"
major_21,major,,21,世界,The World,地,陰,Yes,Yes,完成,完成|統合|達成,完成|統合|達成|循環|調和|成熟|充足|結実|全体,未完|停滞|空虚|不満|区切り不足|循環不全|疲労|惰性|不完全|迷い,"今は、一つのサイクルが完成し、努力が実を結ぶ時です。経験してきたすべてが統合され、あなたは本来の場所に立っています。達成を受け取り、自分自身を祝福してください。ここから、また新しい循環が始まります。","これまで、多くの経験を重ね、学びを積み上げてきました。","今は、完成と統合を迎え、安心して区切りをつけられる地点にいます。","満たされた状態から、次のサイクルが自然と始まっていくでしょう。","今は、達成を受け取る時です。","あなたは、ここまで辿り着きました。","自分を讃えましょう。","満足できず、終わりを実感しにくい状態です。","区切りを付けることを避けています。","急がなくて大丈夫です。","一度、立ち止まりましょう。","major/21_World"
wand_1,minor,wands,1,ワンドのエース,Ace of Wands,火,陽,Yes,保留,早い,始動|情熱|衝動,始まり|情熱|直感|ひらめき|衝動|創造|火花|可能性|意欲,空回り|迷い|消沈|停滞|躊躇|不発|自信不足|疲労|不完全|不安,"今は、内側から情熱の火が灯り、新しい衝動が生まれる時です。理由よりも「やってみたい」という感覚が、動き出すきっかけになります。完璧を待たず、火が消えないうちに小さく始めてみてください。","これまで、心の奥で温めてきた想いや衝動がありました。","今は、情熱が芽生え、始動のきっかけを掴む地点にいます。","行動を起こすことで、可能性は勢いよく広がっていくでしょう。","今は、始めることを恐れないでください。","その火は、意味を持って灯っています。","小さく着火しましょう。","意欲が湧かず、情熱を感じにくい状態です。","自信のなさが行動を止めています。","焦らなくて大丈夫です。","休息で火を守りましょう.","wands/Wands_01_Ace"
wand_2,minor,wands,2,ワンドの2,Two of Wands,火,陽,Yes,No,ゆっくり,計画|展望|選択,展望|計画|意志|選択|可能性|方向性|準備|視野|決断,迷い|優柔不断|停滞|恐れ|視野狭窄|先延ばし|不安|固執|躊躇|保留,"今は、芽生えた情熱をどの方向へ伸ばすかを考える時です。可能性は複数あり、どれを選ぶかによって未来の形が変わります。恐れよりも、心が広がる選択肢に目を向けてみてください。","これまで、始まりの衝動を内側で育ててきました。","今は、方向性を定めるために視野を広げる地点にいます。","選択を明確にすることで、行動は一気に現実味を帯びていくでしょう。","今は、展望を描く時です。","あなたには、選ぶ力があります。","可能性を書き出しましょう。","迷いが強く、決断を先延ばしにしやすい状態です。","恐れが視野を狭めています。","急がなくて大丈夫です。","情報を整理しましょう.","wands/Wands_02_Two"
wand_3,minor,wands,3,ワンドの3,Three of Wands,火,陽,Yes,Yes,進展,展開|成長|見通し,展開|成長|拡大|見通し|進展|外界|可能性|発展|期待,停滞|不安|焦り|視野不足|遅延|落胆|疑念|準備不足|迷走|待機,"今は、選択した方向に向かって物事が動き始め、展開が見え始める時です。自分の外の世界とのつながりが、成長を後押しします。焦らず、流れを信じて待つ姿勢も大切です。","これまで、方向性を定め、準備を進めてきました。","今は、動き始めた流れを見渡し、成長を待つ地点にいます。","関わりが広がり、計画は現実的な形へと発展していくでしょう。","今は、流れを信頼する時です。","展開は、すでに始まっています。","視野を広げましょう。","期待が先行し、焦りや不安が出やすい状態です. ","思うように進まず落胆しています。","待つことも大切です。","足元を整えましょう.","wands/Wands_03_Three"
wand_4,minor,wands,4,ワンドの4,Four of Wands,火,陽,Yes,Yes,安定,安定|祝福|基盤,安定|基盤|祝福|安心|達成|居場所|調和|休息|共有,停滞|不満|不安定|形骸化|緊張|閉塞|孤立|疲労|義務感|違和感,"今は、一つの区切りを迎え、安心できる基盤が整う時です。努力してきたことが形となり、祝福や喜びを分かち合える場面が訪れます。ここでしっかりと安定を感じてください。","これまで、情熱を注ぎながら基盤を築いてきました。","今は、安心できる場所に立ち、成果を実感する地点にいます。","安定した基盤の上で、次の展開が穏やかに始まるでしょう。","今は、安定を受け取る時です。","あなたは、守られています。","安心できる環境を整えましょう。","満たされず、安定を感じにくい状態です。","表面的な安心に違和感を覚えています。","休んで大丈夫です。","本音を確認しましょう.","wands/Wands_04_Four"
wand_5,minor,wands,5,ワンドの5,Five of Wands,火,陽,No,No,混乱,衝突|競争|摩擦,衝突|競争|摩擦|混乱|主張|比較|葛藤|違い|試練,対立|疲弊|不和|攻撃|消耗|混戦|混乱拡大|敵意|拒絶|孤立,"今は、意見や立場の違いが表に出やすく、摩擦が生まれやすい時です。衝突は不快でも、互いの違いを知るための過程でもあります。勝ち負けよりも、何を学ぶかに意識を向けてみてください。","これまで、価値観や方向性の違いが積み重なってきました。","今は、摩擦や競争の中で自分の立ち位置を確認する地点にいます。","対立を乗り越えることで、より強い結束や理解が生まれるでしょう。","今は、違いを受け止める時です。","衝突は、成長の種です。","一歩引いて観察しましょう。","争いに疲れ、消耗しやすい状態です。","対立を避けすぎています。","無理に勝たなくて大丈夫です。","距離を取りましょう.","wands/Wands_05_Five5"
cup_1,minor,cups,1,カップのエース,Ace of Cups,水,陰,Yes,保留,始まり,感情|愛|受容,愛|感情|受容|癒し|始まり|優しさ|共感|心|満たされる,感情過多|依存|不安定|空虚|過敏|混乱|抑圧|孤独|閉塞|疲労,"今は、心が開かれ、新しい感情や愛が流れ込んでくる時です。素直に感じることを許すことで、癒しとつながりが生まれます。満たされた感覚を、まずは自分自身に向けて受け取ってください。","これまで、感情を抑えたり、心を閉じてきた背景があります。","今は、感情を受け入れ、心を開く地点にいます。","愛や共感が広がり、人とのつながりが深まっていくでしょう。","今は、心を開く時です。","あなたの感情は、尊いものです。","素直な気持ちを大切にしましょう。","感情が溢れ、バランスを崩しやすい状態です。","依存や不安が強まっています。","無理に与えなくて大丈夫です。","まず自分を満たしましょう.","cups/Cups_01_Ace"
cup_2,minor,cups,2,カップの2,Two of Cups,水,陰,Yes,Yes,調和,結び|相互|信頼,結び|調和|信頼|対等|愛情|共鳴|理解|関係性|共有,不均衡|依存|誤解|距離|緊張|不一致|不安|片想い|すれ違い|疑念,"今は、心と心が対等に結ばれ、信頼関係が育ちやすい時です。与えることと受け取ることのバランスが取れた関係が、安心をもたらします。素直な気持ちを分かち合ってみてください。","これまで、誰かとの関係性を大切に育ててきました。","今は、相互理解と信頼が形になりやすい地点にいます。","誠実な関わりが、長く続く絆へと発展していくでしょう。","今は、信頼を育む時です。","あなたは、一人ではありません。","気持ちを共有しましょう。","関係性に偏りが生まれやすい状態です。","依存や誤解が距離を作っています。","急がなくて大丈夫です。","対話を大切にしましょう.","cups/Cups_02_Two"
cup_3,minor,cups,3,カップの3,Three of Cups,水,陰,Yes,Yes,喜び,祝福|共有|友情,祝福|共有|友情|喜び|集い|感謝|つながり|分かち合い|軽やか,過剰|表面的|依存|疲労|騒がしさ|浪費|浅さ|孤立|空虚|倦怠,"今は、喜びや達成を周囲と分かち合える時です。人とのつながりが、心を軽くし、安心感をもたらします。感謝の気持ちを言葉や態度で表してみてください。","これまで、一人で頑張る場面が多くありました。","今は、支え合い、喜びを共有できる地点にいます。","つながりが広がり、心が明るく満たされていくでしょう。","今は、喜びを分かち合う時です。","あなたは、受け入れられています。","感謝を伝えましょう。","表面的な楽しさに疲れやすい状態です。","無理に合わせすぎています。","距離を取っても大丈夫です。","本音を大切にしましょう.","cups/Cups_03_Three"
cup_4,minor,cups,4,カップの4,Four of Cups,水,陰,保留,No,停滞,無関心|内省|停滞,無関心|内省|停滞|倦怠|不満|閉塞|気づき不足|拒否|距離,拒絶|不満増大|孤立|後悔|停滞長期|鈍感|逃避|不安|閉鎖|疲弊,"今は、気持ちが動かず、満たされなさを感じやすい時です。差し出されているものに気づきにくく、心が内側に向いています。無理に動かそうとせず、何に疲れているのかを静かに見つめてみてください。","これまで、期待と現実のズレを感じる場面がありました。","今は、心の状態を見直し、内省する地点にいます。","気づきを得ることで、新しい選択肢が再び見えてくるでしょう。","今は、無理をしない時です。","休息も、大切な時間です。","気持ちを整理しましょう。","不満に囚われ、チャンスを拒みやすい状態です。","視野が狭くなっています。","焦らなくて大丈夫です。","一息つきましょう.","cups/Cups_04_Four"
cup_5,minor,cups,5,カップの5,Five of Cups,水,陰,No,No,喪失,喪失|後悔|悲しみ,喪失|後悔|悲しみ|失望|未練|嘆き|感情|区切り|癒し,回復|受容|希望|立ち直り|再生|視点転換|許し|前進|解放|再選択,"今は、失ったものや後悔に意識が向きやすい時です。悲しみを無理に否定せず、十分に感じ切ることが癒しにつながります。まだ残されているものにも、少しずつ目を向けてみてください。","これまで、喪失や残念な出来事を経験してきました。","今は、悲しみと向き合い、感情を整理する地点にいます。","受容が進むことで、希望と回復の流れが静かに戻ってくるでしょう。","今は、悲しみを否定しない時です。","癒しは、ゆっくり訪れます。","感情を表現しましょう。","後悔に囚われ、前が見えにくい状態です。","自分を責めすぎています。","時間が必要です。","優しく自分を労りましょう.","cups/Cups_05_Five"
sword_1,minor,swords,1,ソードのエース,Ace of Swords,風,陽,Yes,Yes,早い,真実|明晰|決断,真実|明晰|決断|言葉|洞察|切り開く|理解|覚醒|知性,混乱|誤解|言葉の暴走|冷酷|断絶|鋭すぎる判断|思考過多|偏り|攻撃|硬直,"今は、思考が冴え、物事の本質を見抜きやすい時です。曖昧だった状況に言葉や理解が与えられ、真実がはっきりと浮かび上がります。冷静さを保ちながら、必要な決断を下してみてください。","これまで、はっきりしない状況に悩まされてきました。","今は、真実を見極め、判断を下す地点にいます。","明確な決断が、新しい道を切り開いていくでしょう。","今は、真実を選ぶ時です。","明晰さは、あなたの味方です。","言葉を整理しましょう。","考えすぎにより、混乱を招きやすい状態です。","言葉が鋭くなりすぎています。","一呼吸置いて大丈夫です。","柔らかさを意識しましょう.","swords/Swords_01_Ace"
